"TIME","LATITUDE","LONGITUDE","TYPE","NR-TAC","NR-PCI","NR-CI","NR-ARFCN","CSI-RSRP","CSI-RSRQ","CSI-SINR","SS-RSRP","SS-RSRQ","SS-SINR","TAC","PCI","ECI","EARFCN","BAND_WIDTH","RSSI","RSRP","RSRQ","SINR","CQI","LAC","CI","RXLEV","ARFCN","BSIC","PSC","UARFCN","NID","BID","SID","CDMADBM","CDMAECIO","EVDODBM","EVDOECIO","EVDOSNR"
"20210917 10:33:24.086","","","NONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20210917 10:33:24.126","","","NONE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20210917 10:33:24.131","","","LTE","","","","","","","","","","","9771","","224778575","","","","","","","","","","","","","","","","","","","","","",""
"20210917 10:33:24.133","","","LTE","","","","","","","","","","","9771","","224778575","","","","","","","","","","","","","","","","","","","","","",""
"20210917 10:33:24.135","","","LTE","","","","","","","","","","","9771","","224778575","","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:24.150","","","LTE","","","","","","","","","","","9771","","224778575","","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:24.154","","","LTE","","","","","","","","","","","9771","","224778575","","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:24.157","","","LTE","","","","","","","","","","","9771","","224778575","","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:24.158","","","LTE","","","","","","","","","","","9771","","224778575","","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:25.015","","","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:26.365","","","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:26.435","","","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-94","-3","11.0","","","","","","","","","","","","","","","",""
"20210917 10:33:26.439","","","LTE","","","","","","","","","","","9771","283","224778575","38950","","-77","-95","-3","11.0","","","","","","","","","","","","","","","",""
